Value,Disaggregation combinations using this value,Number of indicators
MA01,1,1
MA02,1,1
MA03,1,1
MA04,1,1
MA05,1,1
MA06,1,1
MA07,1,1
MA08,1,1
MA09,1,1
MA_10T12,1,1
